Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
BOS,42.36429977,-71.00520325,DCA,38.8521,-77.037697,2015
BOS,42.36429977,-71.00520325,DEN,39.86169815,-104.6729965,500
BOS,42.36429977,-71.00520325,DFW,32.896801,-97.038002,705
BOS,42.36429977,-71.00520325,DTW,42.21239853,-83.35340118,457
BOS,42.36429977,-71.00520325,EWR,40.69250107,-74.16870117,2282
BOS,42.36429977,-71.00520325,FLL,26.072599,-80.152702,301
BOS,42.36429977,-71.00520325,GSO,36.09780121,-79.93730164,88
BOS,42.36429977,-71.00520325,IAD,38.94449997,-77.45580292,795
BOS,42.36429977,-71.00520325,IAH,29.9843998,-95.34140015,256
BOS,42.36429977,-71.00520325,JFK,40.63980103,-73.77890015,617
BOS,42.36429977,-71.00520325,LAX,33.94250107,-118.4079971,446
BOS,42.36429977,-71.00520325,LGA,40.77719879,-73.87259674,2775
BOS,42.36429977,-71.00520325,MCI,39.2976,-94.713898,174
BOS,42.36429977,-71.00520325,MCO,28.42939949,-81.30899811,435
BOS,42.36429977,-71.00520325,MDT,40.19350052,-76.76339722,153
BOS,42.36429977,-71.00520325,MEM,35.04240036,-89.97669983,171
BOS,42.36429977,-71.00520325,MIA,25.79319954,-80.29060364,363
BOS,42.36429977,-71.00520325,MSP,44.882,-93.221802,415
BOS,42.36429977,-71.00520325,MSY,29.99340057,-90.25800323,66
BOS,42.36429977,-71.00520325,ORD,41.9786,-87.9048,1594
BOS,42.36429977,-71.00520325,ORF,36.89459991,-76.20120239,166
BOS,42.36429977,-71.00520325,PBI,26.68320084,-80.09559631,114
BOS,42.36429977,-71.00520325,PHL,39.87189865,-75.2410965,1726
BOS,42.36429977,-71.00520325,PIT,40.49150085,-80.23290253,760
BOS,42.36429977,-71.00520325,PVD,41.732601,-71.420403,75
BOS,42.36429977,-71.00520325,PWM,43.64619827,-70.30930328,439
BOS,42.36429977,-71.00520325,RDU,35.87760162,-78.78749847,287
BOS,42.36429977,-71.00520325,RIC,37.50519943,-77.31970215,85
BOS,42.36429977,-71.00520325,ROC,43.1189003,-77.67240143,335
BOS,42.36429977,-71.00520325,SFO,37.61899948,-122.375,173
BOS,42.36429977,-71.00520325,SJU,18.43939972,-66.00180054,169
BOS,42.36429977,-71.00520325,SLC,40.78839874,-111.9779968,176
BOS,42.36429977,-71.00520325,STL,38.748697,-90.370003,431
